"Ano";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"1999";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"134,17";"6692,10"
"2000";"17,15";"27,55";"14,84";"25,35";"10,14";"5,25";"0,17";"82,66";"72,25";"85,19";"46,55";"67,12";"29,21";"11,13";"94,08";"76,30";"92,70";"68,74";"89,41";"105,38";"91,12";"95,57";"79,75";"114,77";"61,41";"82,19";"101,96";"77,50"
"2001";"93,85";"67,82";"27,69";"61,93";"47,94";"131,68";"82,17";"80,13";"95,28";"109,94";"39,50";"95,42";"69,88";"59,09";"102,22";"104,80";"101,89";"99,75";"90,78";"105,13";"101,36";"101,09";"22,85";"99,93";"88,61";"95,71";"102,22";"88,43"
"2002";"94,94";"104,56";"71,27";"75,26";"120,34";"89,81";"88,48";"83,40";"95,22";"104,11";"75,35";"96,56";"84,64";"97,43";"103,48";"88,35";"98,80";"101,04";"96,23";"105,13";"101,72";"91,38";"86,54";"100,22";"94,64";"99,18";"99,92";"96,92"
"2003";"115,24";"99,40";"91,30";"110,22";"124,98";"114,50";"115,03";"102,32";"111,58";"119,11";"116,80";"108,34";"119,59";"99,05";"132,46";"107,79";"103,62";"126,19";"114,46";"119,88";"107,13";"115,37";"110,93";"119,49";"120,92";"109,98";"101,66";"112,95"
"2004";"130,63";"123,22";"86,06";"110,32";"143,10";"129,76";"97,41";"106,30";"116,01";"112,89";"110,20";"114,45";"113,70";"123,77";"120,41";"132,66";"115,20";"113,96";"105,97";"104,30";"93,89";"97,79";"100,61";"98,49";"110,41";"113,78";"96,70";"110,93"
"2005";"115,99";"95,12";"104,03";"116,01";"116,35";"99,34";"101,00";"113,67";"102,50";"110,35";"100,34";"107,30";"109,15";"110,17";"93,82";"117,98";"107,46";"110,12";"107,75";"102,04";"99,78";"101,01";"101,40";"97,99";"109,58";"106,42";"101,14";"106,55"
"2006";"125,36";"90,84";"103,37";"94,23";"113,05";"90,41";"100,96";"110,54";"104,90";"105,30";"107,58";"112,97";"110,07";"103,90";"95,89";"114,49";"105,77";"109,37";"102,12";"101,19";"101,21";"100,38";"101,05";"104,28";"109,83";"109,78";"98,91";"105,35"
"2007";"116,70";"109,45";"110,07";"97,31";"118,49";"98,29";"107,82";"119,71";"107,07";"107,88";"107,25";"116,26";"113,35";"99,63";"106,25";"108,20";"109,28";"104,49";"100,54";"100,23";"103,17";"102,40";"104,53";"106,44";"114,80";"116,26";"95,26";"106,80"
"2008";"103,49";"94,17";"101,56";"95,51";"111,83";"93,02";"96,40";"113,90";"100,90";"103,02";"94,73";"102,50";"105,71";"92,94";"99,53";"102,05";"98,69";"100,36";"95,46";"96,68";"94,48";"96,43";"95,32";"92,66";"100,37";"106,10";"91,52";"99,81"
"2009";"102,29";"103,45";"103,13";"100,61";"117,62";"100,57";"103,00";"118,10";"102,35";"105,67";"101,01";"104,40";"111,23";"105,33";"102,66";"108,09";"105,45";"102,47";"96,69";"99,13";"100,19";"103,11";"95,32";"102,13";"104,65";"106,90";"95,78";"103,74"
"2010";"100,41";"96,87";"100,11";"94,49";"110,95";"92,10";"95,33";"109,99";"97,70";"103,91";"100,72";"119,28";"104,79";"98,58";"98,24";"102,97";"99,72";"99,72";"94,98";"94,91";"95,64";"101,30";"93,63";"100,22";"97,70";"106,82";"92,41";"99,93"
"2011";"102,72";"105,29";"94,67";"97,98";"109,25";"93,00";"91,41";"112,84";"97,02";"110,92";"99,47";"102,34";"113,67";"89,95";"98,03";"100,29";"100,80";"103,76";"107,16";"100,34";"98,59";"99,79";"93,87";"96,29";"98,48";"115,54";"89,52";"102,39"
"2012";"105,40";"90,28";"103,39";"87,83";"102,20";"91,55";"91,60";"98,21";"98,33";"97,61";"98,69";"92,72";"104,59";"93,18";"97,34";"97,88";"104,88";"105,07";"97,18";"99,54";"99,94";"100,35";"91,61";"100,76";"99,32";"107,68";"92,85";"99,50"
